"år","region",Folkmängd
"1990","01 Stockholms län",1641669
"1990","03 Uppsala län",268835
"1990","04 Södermanlands län",255636
"1990","05 Östergötlands län",403011
"1990","06 Jönköpings län",325163
"1990","07 Kronobergs län",177882
"1990","08 Kalmar län",241102
"1990","09 Gotlands län",57108
"1990","10 Blekinge län",150564
"1990","12 Skåne län",1068587
"1990","13 Hallands län",254725
"1990","14 Västra Götalands län",1441293
"1990","17 Värmlands län",283110
"1990","18 Örebro län",272513
"1990","19 Västmanlands län",258487
"1990","20 Dalarnas län",289067
"1990","21 Gävleborgs län",289294
"1990","22 Västernorrlands län",261155
"1990","23 Jämtlands län",135726
"1990","24 Västerbottens län",251968
"1990","25 Norrbottens län",263735
"1991","01 Stockholms län",1654511
"1991","03 Uppsala län",273918
"1991","04 Södermanlands län",256818
"1991","05 Östergötlands län",406100
"1991","06 Jönköpings län",326653
"1991","07 Kronobergs län",178612
"1991","08 Kalmar län",241883
"1991","09 Gotlands län",57383
"1991","10 Blekinge län",151168
"1991","12 Skåne län",1078225
"1991","13 Hallands län",257874
"1991","14 Västra Götalands län",1448056
"1991","17 Värmlands län",284187
"1991","18 Örebro län",273608
"1991","19 Västmanlands län",259438
"1991","20 Dalarnas län",290388
"1991","21 Gävleborgs län",289339
"1991","22 Västernorrlands län",261280
"1991","23 Jämtlands län",136009
"1991","24 Västerbottens län",253835
"1991","25 Norrbottens län",264834
"1992","01 Stockholms län",1669840
"1992","03 Uppsala län",278610
"1992","04 Södermanlands län",257858
"1992","05 Östergötlands län",408268
"1992","06 Jönköpings län",326852
"1992","07 Kronobergs län",178961
"1992","08 Kalmar län",241912
"1992","09 Gotlands län",57578
"1992","10 Blekinge län",151266
"1992","12 Skåne län",1086689
"1992","13 Hallands län",261172
"1992","14 Västra Götalands län",1455645
"1992","17 Värmlands län",284691
"1992","18 Örebro län",274325
"1992","19 Västmanlands län",260096
"1992","20 Dalarnas län",290245
"1992","21 Gävleborgs län",289190
"1992","22 Västernorrlands län",260829
"1992","23 Jämtlands län",135910
"1992","24 Västerbottens län",255987
"1992","25 Norrbottens län",266089
"1993","01 Stockholms län",1686230
"1993","03 Uppsala län",283006
"1993","04 Södermanlands län",259199
"1993","05 Östergötlands län",411212
"1993","06 Jönköpings län",327920
"1993","07 Kronobergs län",179649
"1993","08 Kalmar län",242528
"1993","09 Gotlands län",57751
"1993","10 Blekinge län",151853
"1993","12 Skåne län",1093367
"1993","13 Hallands län",264607
"1993","14 Västra Götalands län",1464073
"1993","17 Värmlands län",285220
"1993","18 Örebro län",275532
"1993","19 Västmanlands län",260932
"1993","20 Dalarnas län",290515
"1993","21 Gävleborgs län",289612
"1993","22 Västernorrlands län",260567
"1993","23 Jämtlands län",136073
"1993","24 Västerbottens län",258171
"1993","25 Norrbottens län",267092
"1994","01 Stockholms län",1708502
"1994","03 Uppsala län",286642
"1994","04 Södermanlands län",259793
"1994","05 Östergötlands län",415603
"1994","06 Jönköpings län",329406
"1994","07 Kronobergs län",180747
"1994","08 Kalmar län",244057
"1994","09 Gotlands län",58237
"1994","10 Blekinge län",153016
"1994","12 Skåne län",1105986
"1994","13 Hallands län",268067
"1994","14 Västra Götalands län",1477370
"1994","17 Värmlands län",285498
"1994","18 Örebro län",276828
"1994","19 Västmanlands län",261753
"1994","20 Dalarnas län",291203
"1994","21 Gävleborgs län",289654
"1994","22 Västernorrlands län",260295
"1994","23 Jämtlands län",136301
"1994","24 Västerbottens län",259775
"1994","25 Norrbottens län",267648
"1995","01 Stockholms län",1725756
"1995","03 Uppsala län",288475
"1995","04 Södermanlands län",258700
"1995","05 Östergötlands län",416443
"1995","06 Jönköpings län",329595
"1995","07 Kronobergs län",180377
"1995","08 Kalmar län",243372
"1995","09 Gotlands län",58120
"1995","10 Blekinge län",152737
"1995","12 Skåne län",1111731
"1995","13 Hallands län",269338
"1995","14 Västra Götalands län",1482501
"1995","17 Värmlands län",284011
"1995","18 Örebro län",276417
"1995","19 Västmanlands län",261101
"1995","20 Dalarnas län",289956
"1995","21 Gävleborgs län",288509
"1995","22 Västernorrlands län",258290
"1995","23 Jämtlands län",135584
"1995","24 Västerbottens län",260472
"1995","25 Norrbottens län",266011
"1996","01 Stockholms län",1744330
"1996","03 Uppsala län",289153
"1996","04 Södermanlands län",257383
"1996","05 Östergötlands län",415659
"1996","06 Jönköpings län",328726
"1996","07 Kronobergs län",179655
"1996","08 Kalmar län",241896
"1996","09 Gotlands län",57971
"1996","10 Blekinge län",151972
"1996","12 Skåne län",1114368
"1996","13 Hallands län",270060
"1996","14 Västra Götalands län",1485014
"1996","17 Värmlands län",282147
"1996","18 Örebro län",275855
"1996","19 Västmanlands län",259987
"1996","20 Dalarnas län",288171
"1996","21 Gävleborgs län",286789
"1996","22 Västernorrlands län",256587
"1996","23 Jämtlands län",134561
"1996","24 Västerbottens län",259895
"1996","25 Norrbottens län",264320
"1997","01 Stockholms län",1762924
"1997","03 Uppsala län",290473
"1997","04 Södermanlands län",256870
"1997","05 Östergötlands län",414360
"1997","06 Jönköpings län",328068
"1997","07 Kronobergs län",179021
"1997","08 Kalmar län",240160
"1997","09 Gotlands län",57791
"1997","10 Blekinge län",151692
"1997","12 Skåne län",1116603
"1997","13 Hallands län",271325
"1997","14 Västra Götalands län",1485611
"1997","17 Värmlands län",280178
"1997","18 Örebro län",275163
"1997","19 Västmanlands län",258541
"1997","20 Dalarnas län",285232
"1997","21 Gävleborgs län",284636
"1997","22 Västernorrlands län",254354
"1997","23 Jämtlands län",133143
"1997","24 Västerbottens län",259163
"1997","25 Norrbottens län",262317
"1998","01 Stockholms län",1783440
"1998","03 Uppsala län",291413
"1998","04 Södermanlands län",256269
"1998","05 Östergötlands län",412411
"1998","06 Jönköpings län",328059
"1998","07 Kronobergs län",178078
"1998","08 Kalmar län",238104
"1998","09 Gotlands län",57643
"1998","10 Blekinge län",151414
"1998","12 Skåne län",1120426
"1998","13 Hallands län",272539
"1998","14 Västra Götalands län",1486918
"1998","17 Värmlands län",278313
"1998","18 Örebro län",274584
"1998","19 Västmanlands län",257661
"1998","20 Dalarnas län",282898
"1998","21 Gävleborgs län",282226
"1998","22 Västernorrlands län",251884
"1998","23 Jämtlands län",131766
"1998","24 Västerbottens län",257803
"1998","25 Norrbottens län",260473
"1999","01 Stockholms län",1803377
"1999","03 Uppsala län",292415
"1999","04 Södermanlands län",255890
"1999","05 Östergötlands län",411320
"1999","06 Jönköpings län",327266
"1999","07 Kronobergs län",177149
"1999","08 Kalmar län",236501
"1999","09 Gotlands län",57428
"1999","10 Blekinge län",150625
"1999","12 Skåne län",1123786
"1999","13 Hallands län",273537
"1999","14 Västra Götalands län",1488709
"1999","17 Värmlands län",276600
"1999","18 Örebro län",273822
"1999","19 Västmanlands län",256901
"1999","20 Dalarnas län",280575
"1999","21 Gävleborgs län",280717
"1999","22 Västernorrlands län",249299
"1999","23 Jämtlands län",130705
"1999","24 Västerbottens län",256710
"1999","25 Norrbottens län",258094
"2000","01 Stockholms län",1823210
"2000","03 Uppsala län",294196
"2000","04 Södermanlands län",256033
"2000","05 Östergötlands län",411345
"2000","06 Jönköpings län",327829
"2000","07 Kronobergs län",176639
"2000","08 Kalmar län",235391
"2000","09 Gotlands län",57313
"2000","10 Blekinge län",150392
"2000","12 Skåne län",1129424
"2000","13 Hallands län",275004
"2000","14 Västra Götalands län",1494641
"2000","17 Värmlands län",275003
"2000","18 Örebro län",273615
"2000","19 Västmanlands län",256889
"2000","20 Dalarnas län",278259
"2000","21 Gävleborgs län",279262
"2000","22 Västernorrlands län",246903
"2000","23 Jämtlands län",129566
"2000","24 Västerbottens län",255640
"2000","25 Norrbottens län",256238
"2001","01 Stockholms län",1838882
"2001","03 Uppsala län",296627
"2001","04 Södermanlands län",257220
"2001","05 Östergötlands län",412363
"2001","06 Jönköpings län",327824
"2001","07 Kronobergs län",176582
"2001","08 Kalmar län",234697
"2001","09 Gotlands län",57412
"2001","10 Blekinge län",150017
"2001","12 Skåne län",1136571
"2001","13 Hallands län",276653
"2001","14 Västra Götalands län",1500857
"2001","17 Värmlands län",273933
"2001","18 Örebro län",273137
"2001","19 Västmanlands län",257957
"2001","20 Dalarnas län",277010
"2001","21 Gävleborgs län",278171
"2001","22 Västernorrlands län",245078
"2001","23 Jämtlands län",128586
"2001","24 Västerbottens län",254818
"2001","25 Norrbottens län",254733
"2002","01 Stockholms län",1850467
"2002","03 Uppsala län",298655
"2002","04 Södermanlands län",259006
"2002","05 Östergötlands län",413438
"2002","06 Jönköpings län",327971
"2002","07 Kronobergs län",176978
"2002","08 Kalmar län",234627
"2002","09 Gotlands län",57381
"2002","10 Blekinge län",149875
"2002","12 Skåne län",1145090
"2002","13 Hallands län",278551
"2002","14 Västra Götalands län",1508230
"2002","17 Värmlands län",273419
"2002","18 Örebro län",273412
"2002","19 Västmanlands län",258912
"2002","20 Dalarnas län",276636
"2002","21 Gävleborgs län",277012
"2002","22 Västernorrlands län",244319
"2002","23 Jämtlands län",127947
"2002","24 Västerbottens län",255230
"2002","25 Norrbottens län",253632
"2003","01 Stockholms län",1860872
"2003","03 Uppsala län",300495
"2003","04 Södermanlands län",260380
"2003","05 Östergötlands län",414897
"2003","06 Jönköpings län",328659
"2003","07 Kronobergs län",177448
"2003","08 Kalmar län",234886
"2003","09 Gotlands län",57535
"2003","10 Blekinge län",149889
"2003","12 Skåne län",1152697
"2003","13 Hallands län",281322
"2003","14 Västra Götalands län",1514992
"2003","17 Värmlands län",273563
"2003","18 Örebro län",273935
"2003","19 Västmanlands län",260134
"2003","20 Dalarnas län",276520
"2003","21 Gävleborgs län",276866
"2003","22 Västernorrlands län",244105
"2003","23 Jämtlands län",127645
"2003","24 Västerbottens län",255956
"2003","25 Norrbottens län",252874
"2004","01 Stockholms län",1872900
"2004","03 Uppsala län",302564
"2004","04 Södermanlands län",261070
"2004","05 Östergötlands län",415990
"2004","06 Jönköpings län",329297
"2004","07 Kronobergs län",178285
"2004","08 Kalmar län",234496
"2004","09 Gotlands län",57661
"2004","10 Blekinge län",150335
"2004","12 Skåne län",1160919
"2004","13 Hallands län",283788
"2004","14 Västra Götalands län",1521895
"2004","17 Värmlands län",273547
"2004","18 Örebro län",273920
"2004","19 Västmanlands län",261005
"2004","20 Dalarnas län",276042
"2004","21 Gävleborgs län",276599
"2004","22 Västernorrlands län",244195
"2004","23 Jämtlands län",127424
"2004","24 Västerbottens län",256875
"2004","25 Norrbottens län",252585
"2005","01 Stockholms län",1889945
"2005","03 Uppsala län",304367
"2005","04 Södermanlands län",261895
"2005","05 Östergötlands län",416303
"2005","06 Jönköpings län",330179
"2005","07 Kronobergs län",178443
"2005","08 Kalmar län",233944
"2005","09 Gotlands län",57488
"2005","10 Blekinge län",150696
"2005","12 Skåne län",1169464
"2005","13 Hallands län",285868
"2005","14 Västra Götalands län",1528455
"2005","17 Värmlands län",273288
"2005","18 Örebro län",274121
"2005","19 Västmanlands län",261391
"2005","20 Dalarnas län",275755
"2005","21 Gävleborgs län",275994
"2005","22 Västernorrlands län",243736
"2005","23 Jämtlands län",127028
"2005","24 Västerbottens län",257652
"2005","25 Norrbottens län",251740
"2006","01 Stockholms län",1918104
"2006","03 Uppsala län",319925
"2006","04 Södermanlands län",263099
"2006","05 Östergötlands län",417966
"2006","06 Jönköpings län",331539
"2006","07 Kronobergs län",179635
"2006","08 Kalmar län",233776
"2006","09 Gotlands län",57297
"2006","10 Blekinge län",151436
"2006","12 Skåne län",1184500
"2006","13 Hallands län",288859
"2006","14 Västra Götalands län",1538284
"2006","17 Värmlands län",273489
"2006","18 Örebro län",275030
"2006","19 Västmanlands län",248489
"2006","20 Dalarnas län",275711
"2006","21 Gävleborgs län",275653
"2006","22 Västernorrlands län",243978
"2006","23 Jämtlands län",127020
"2006","24 Västerbottens län",257581
"2006","25 Norrbottens län",251886
"2007","01 Stockholms län",1949516
"2007","03 Uppsala län",323270
"2007","04 Södermanlands län",265190
"2007","05 Östergötlands län",420809
"2007","06 Jönköpings län",333610
"2007","07 Kronobergs län",180787
"2007","08 Kalmar län",233834
"2007","09 Gotlands län",57122
"2007","10 Blekinge län",151900
"2007","12 Skåne län",1199357
"2007","13 Hallands län",291393
"2007","14 Västra Götalands län",1547298
"2007","17 Värmlands län",273826
"2007","18 Örebro län",276067
"2007","19 Västmanlands län",249193
"2007","20 Dalarnas län",275618
"2007","21 Gävleborgs län",275556
"2007","22 Västernorrlands län",243449
"2007","23 Jämtlands län",126937
"2007","24 Västerbottens län",257593
"2007","25 Norrbottens län",250602
"2008","01 Stockholms län",1981263
"2008","03 Uppsala län",327188
"2008","04 Södermanlands län",267524
"2008","05 Östergötlands län",423169
"2008","06 Jönköpings län",335246
"2008","07 Kronobergs län",182224
"2008","08 Kalmar län",233397
"2008","09 Gotlands län",57004
"2008","10 Blekinge län",152259
"2008","12 Skåne län",1214758
"2008","13 Hallands län",293572
"2008","14 Västra Götalands län",1558130
"2008","17 Värmlands län",273374
"2008","18 Örebro län",277732
"2008","19 Västmanlands län",249974
"2008","20 Dalarnas län",275867
"2008","21 Gävleborgs län",275908
"2008","22 Västernorrlands län",243372
"2008","23 Jämtlands län",126897
"2008","24 Västerbottens län",257812
"2008","25 Norrbottens län",249677
"2009","01 Stockholms län",2019182
"2009","03 Uppsala län",331898
"2009","04 Södermanlands län",269053
"2009","05 Östergötlands län",427106
"2009","06 Jönköpings län",336044
"2009","07 Kronobergs län",183162
"2009","08 Kalmar län",233639
"2009","09 Gotlands län",57221
"2009","10 Blekinge län",152591
"2009","12 Skåne län",1231062
"2009","13 Hallands län",296825
"2009","14 Västra Götalands län",1569458
"2009","17 Värmlands län",273257
"2009","18 Örebro län",278882
"2009","19 Västmanlands län",251353
"2009","20 Dalarnas län",276454
"2009","21 Gävleborgs län",276220
"2009","22 Västernorrlands län",243042
"2009","23 Jämtlands län",126666
"2009","24 Västerbottens län",258548
"2009","25 Norrbottens län",249019
"2010","01 Stockholms län",2054343
"2010","03 Uppsala län",335882
"2010","04 Södermanlands län",270738
"2010","05 Östergötlands län",429642
"2010","06 Jönköpings län",336866
"2010","07 Kronobergs län",183940
"2010","08 Kalmar län",233536
"2010","09 Gotlands län",57269
"2010","10 Blekinge län",153227
"2010","12 Skåne län",1243329
"2010","13 Hallands län",299484
"2010","14 Västra Götalands län",1580297
"2010","17 Värmlands län",273265
"2010","18 Örebro län",280230
"2010","19 Västmanlands län",252756
"2010","20 Dalarnas län",277047
"2010","21 Gävleborgs län",276508
"2010","22 Västernorrlands län",242625
"2010","23 Jämtlands län",126691
"2010","24 Västerbottens län",259286
"2010","25 Norrbottens län",248609
"2011","01 Stockholms län",2091473
"2011","03 Uppsala län",338630
"2011","04 Södermanlands län",272563
"2011","05 Östergötlands län",431075
"2011","06 Jönköpings län",337896
"2011","07 Kronobergs län",184654
"2011","08 Kalmar län",233090
"2011","09 Gotlands län",57308
"2011","10 Blekinge län",152979
"2011","12 Skåne län",1252933
"2011","13 Hallands län",301724
"2011","14 Västra Götalands län",1590604
"2011","17 Värmlands län",272736
"2011","18 Örebro län",281572
"2011","19 Västmanlands län",254257
"2011","20 Dalarnas län",276565
"2011","21 Gävleborgs län",276130
"2011","22 Västernorrlands län",242155
"2011","23 Jämtlands län",126299
"2011","24 Västerbottens län",259667
"2011","25 Norrbottens län",248545
"2012","01 Stockholms län",2127006
"2012","03 Uppsala län",341977
"2012","04 Södermanlands län",274723
"2012","05 Östergötlands län",433784
"2012","06 Jönköpings län",339116
"2012","07 Kronobergs län",185887
"2012","08 Kalmar län",233548
"2012","09 Gotlands län",57241
"2012","10 Blekinge län",152315
"2012","12 Skåne län",1263088
"2012","13 Hallands län",304116
"2012","14 Västra Götalands län",1600447
"2012","17 Värmlands län",273080
"2012","18 Örebro län",283113
"2012","19 Västmanlands län",256224
"2012","20 Dalarnas län",276555
"2012","21 Gävleborgs län",276637
"2012","22 Västernorrlands län",241981
"2012","23 Jämtlands län",126201
"2012","24 Västerbottens län",260217
"2012","25 Norrbottens län",248637
"2013","01 Stockholms län",2163042
"2013","03 Uppsala län",345481
"2013","04 Södermanlands län",277569
"2013","05 Östergötlands län",437848
"2013","06 Jönköpings län",341235
"2013","07 Kronobergs län",187156
"2013","08 Kalmar län",233874
"2013","09 Gotlands län",57161
"2013","10 Blekinge län",152757
"2013","12 Skåne län",1274069
"2013","13 Hallands län",306840
"2013","14 Västra Götalands län",1615084
"2013","17 Värmlands län",273815
"2013","18 Örebro län",285395
"2013","19 Västmanlands län",259054
"2013","20 Dalarnas län",277349
"2013","21 Gävleborgs län",277970
"2013","22 Västernorrlands län",242156
"2013","23 Jämtlands län",126461
"2013","24 Västerbottens län",261112
"2013","25 Norrbottens län",249436
"2014","01 Stockholms län",2198044
"2014","03 Uppsala län",348942
"2014","04 Södermanlands län",280666
"2014","05 Östergötlands län",442105
"2014","06 Jönköpings län",344262
"2014","07 Kronobergs län",189128
"2014","08 Kalmar län",235598
"2014","09 Gotlands län",57255
"2014","10 Blekinge län",154157
"2014","12 Skåne län",1288908
"2014","13 Hallands län",310665
"2014","14 Västra Götalands län",1632012
"2014","17 Värmlands län",274691
"2014","18 Örebro län",288150
"2014","19 Västmanlands län",261703
"2014","20 Dalarnas län",278903
"2014","21 Gävleborgs län",279991
"2014","22 Västernorrlands län",243061
"2014","23 Jämtlands län",126765
"2014","24 Västerbottens län",262362
"2014","25 Norrbottens län",249987
"2015","01 Stockholms län",2231439
"2015","03 Uppsala län",354164
"2015","04 Södermanlands län",283712
"2015","05 Östergötlands län",445661
"2015","06 Jönköpings län",347837
"2015","07 Kronobergs län",191369
"2015","08 Kalmar län",237679
"2015","09 Gotlands län",57391
"2015","10 Blekinge län",156253
"2015","12 Skåne län",1303627
"2015","13 Hallands län",314784
"2015","14 Västra Götalands län",1648682
"2015","17 Värmlands län",275904
"2015","18 Örebro län",291012
"2015","19 Västmanlands län",264276
"2015","20 Dalarnas län",281028
"2015","21 Gävleborgs län",281815
"2015","22 Västernorrlands län",243897
"2015","23 Jämtlands län",127376
"2015","24 Västerbottens län",263378
"2015","25 Norrbottens län",249733
"2016","01 Stockholms län",2269060
"2016","03 Uppsala län",361373
"2016","04 Södermanlands län",288097
"2016","05 Östergötlands län",452105
"2016","06 Jönköpings län",352735
"2016","07 Kronobergs län",194628
"2016","08 Kalmar län",242301
"2016","09 Gotlands län",58003
"2016","10 Blekinge län",158453
"2016","12 Skåne län",1324565
"2016","13 Hallands län",320333
"2016","14 Västra Götalands län",1671783
"2016","17 Värmlands län",279334
"2016","18 Örebro län",294941
"2016","19 Västmanlands län",267629
"2016","20 Dalarnas län",284531
"2016","21 Gävleborgs län",284586
"2016","22 Västernorrlands län",245572
"2016","23 Jämtlands län",128673
"2016","24 Västerbottens län",265881
"2016","25 Norrbottens län",250570
